account_id,open_date,statement_frequency,district_name,num_customers,credit_cards,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
1,1995-03-24,monthly,Pisek,1,0,False,,,,,,12600,15,0,30415,1000
2,1993-02-26,monthly,Hl.m. Praha,2,0,True,80952.0,3373.0,24.0,A,False,42000,14,0,69302,1100
3,1997-07-07,monthly,Kolin,2,0,False,,,,,,11253,15,0,53447,1000
4,1996-02-21,monthly,Pribram,1,0,False,,,,,,5553,15,0,34870,800
5,1997-05-30,monthly,Cesky Krumlov,1,0,False,,,,,,5100,4,0,32036,600
6,1994-09-27,monthly,Trutnov,1,0,False,,,,,,11600,15,0,51879,900
7,1996-11-24,monthly,Prostejov,1,1,False,,,,,,33975,15,0,99675,900
8,1995-09-21,monthly,Hodonin,2,0,False,,,,,,40800,15,0,79255,900
9,1993-01-27,monthly,Karvina,1,0,False,,,,,,45691,5,0,85444,400
10,1996-08-28,monthly,Brno - mesto,1,0,False,,,,,,26529,12,0,83410,1100
11,1995-10-10,monthly,Sumperk,1,0,False,,,,,,6700,10,0,40389,300
12,1997-04-15,monthly,Tabor,2,0,False,,,,,,11000,15,0,29053,1100
13,1997-08-17,monthly,Sumperk,2,0,False,,,,,,7500,15,0,29751,1000
14,1996-11-27,monthly,Pardubice,1,1,False,,,,,,22137,15,0,59453,400
15,1993-10-02,monthly,Karvina,1,0,False,,,,,,46720,15,0,66671,800
16,1997-09-23,monthly,Pribram,1,0,False,,,,,,31262,15,0,60274,500
17,1997-01-08,monthly,Hl.m. Praha,2,0,False,,,,,,49483,15,0,100815,700
19,1995-04-07,monthly,Tabor,1,0,True,30276.0,2523.0,12.0,B,True,22708,1,0,58158,-10605
20,1996-08-24,monthly,Ostrava - mesto,1,0,False,,,,,,4950,15,0,20458,500
21,1997-12-06,monthly,Brno - mesto,1,0,False,,,,,,28000,15,0,61685,1100
