account_id,credit_cards,open_date,statement_frequency,district_name,num_customers,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payment,max_balance,min_balance
1,0,1995-03-24,monthly,Pisek,2,FALSE,NA,NA,NA,NA,NA,12600,15,102,30415,1000
2,0,1993-02-26,monthly,Hl.m. Praha,2,TRUE,80952,3373,24,A,FALSE,42000,14,152,69302,1100
3,0,1997-07-07,monthly,Kolin,1,FALSE,NA,NA,NA,NA,NA,11253,15,46,53447,1000
4,0,1996-02-21,monthly,Pribram,2,FALSE,NA,NA,NA,NA,NA,5553,15,65,34870,800
5,0,1997-05-30,monthly,Cesky Krumlov,2,FALSE,NA,NA,NA,NA,NA,5100,4,35,32036,600
6,0,1994-09-27,monthly,Trutnov,1,FALSE,NA,NA,NA,NA,NA,11600,15,99,51879,900
7,1,1996-11-24,monthly,Prostejov,1,FALSE,NA,NA,NA,NA,NA,33975,15,51,99675,900
8,0,1995-09-21,monthly,Hodonin,1,FALSE,NA,NA,NA,NA,NA,40800,15,84,79255,900
9,0,1993-01-27,monthly,Karvina,1,FALSE,NA,NA,NA,NA,NA,45691,5,183,85444,400
10,0,1996-08-28,monthly,Brno - mesto,1,FALSE,NA,NA,NA,NA,NA,26529,12,59,83410,1100
11,0,1995-10-10,monthly,Sumperk,1,FALSE,NA,NA,NA,NA,NA,6700,10,79,40389,300
12,0,1997-04-15,monthly,Tabor,1,FALSE,NA,NA,NA,NA,NA,11000,15,39,29053,1100
13,0,1997-08-17,monthly,Sumperk,1,FALSE,NA,NA,NA,NA,NA,7500,15,31,29751,1000
14,1,1996-11-27,monthly,Pardubice,2,FALSE,NA,NA,NA,NA,NA,22137,15,52,59453,400
15,0,1993-10-02,monthly,Karvina,1,FALSE,NA,NA,NA,NA,NA,46720,15,129,66671,800
16,0,1997-09-23,monthly,Pribram,1,FALSE,NA,NA,NA,NA,NA,31262,15,32,60274,500
17,0,1997-01-08,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,49483,15,33,100815,700
18,0,1993-05-26,weekly,Hradec Kralove,1,FALSE,NA,NA,NA,NA,NA,70200,30,156,155603,576
19,0,1995-04-07,monthly,Tabor,1,TRUE,30276,2523,12,B,TRUE,22708,1,152,58158,-10605
20,0,1996-08-24,monthly,Ostrava - mesto,2,FALSE,NA,NA,NA,NA,NA,4950,15,53,20458,500
21,0,1997-12-06,monthly,Brno - mesto,1,FALSE,NA,NA,NA,NA,NA,28000,15,34,61685,1100
22,0,1994-03-23,monthly,Hl.m. Praha,1,FALSE,NA,NA,NA,NA,NA,27600,15,118,68160,1100
23,0,1993-05-22,monthly,Sokolov,1,FALSE,NA,NA,NA,NA,NA,40480,15,137,95299,800
